Throughput:,2600.000000
Iteration speed:,999
Interval between vehicle spawns:,30
Lanes in total:,4
Plsubus lanes:,2
Time stopped spawning cars, 3600
Duration of simulation, 3795
Total number of cars:,2619
ID, TYPE, LANE, SECS ON BRIDGE, AVG SPEED, TIME WAITED FOR GREEN
1,Car,3,301,7.888,243
2,Car,4,302,7.975,244
3,Car,3,335,7.141,273
4,Car,3,335,7.153,271
5,Car,4,334,7.149,274
6,Car,4,334,7.146,270
7,Car,3,335,7.139,268
8,Car,4,335,7.168,269
9,Car,4,335,7.157,267
10,Car,4,335,7.133,265
11,Car,3,336,7.164,266
12,Car,3,336,7.174,265
13,Car,4,335,7.131,263
14,Car,3,336,7.178,263
15,Car,3,336,7.110,260
16,Car,3,336,7.113,259
17,Car,4,335,7.113,260
18,Car,3,336,7.115,257
19,Car,3,336,7.121,256
20,Car,3,336,7.097,253
21,Car,3,336,7.113,248
22,Car,3,336,7.105,248
23,Car,3,336,7.099,246
24,Car,4,314,7.676,238
25,Car,3,321,7.406,229
26,Car,3,322,7.446,226
27,Car,4,313,7.631,236
28,Car,3,322,7.454,224
29,Car,3,322,7.462,222
30,Car,4,314,7.678,234
31,Car,4,314,7.644,231
32,Car,3,322,7.467,217
33,Car,4,314,7.624,228
34,Car,3,292,8.235,187
35,Car,3,291,8.179,185
36,Car,3,324,7.432,213
37,Car,4,284,8.411,199
38,Bus,4,288,8.363,183
39,Car,4,287,8.385,181
40,Car,3,324,7.421,211
41,Car,4,287,8.399,177
42,Car,3,324,7.362,210
43,Car,3,324,7.376,206
44,Car,3,325,7.411,202
45,Car,4,286,8.417,174
46,Car,4,286,8.398,173
47,Car,4,286,8.433,172
48,Car,4,317,7.608,201
49,Car,4,316,7.570,201
50,Car,4,316,7.576,196
51,Car,3,325,7.417,202
52,Car,4,316,7.577,192
53,Car,4,316,7.582,190
54,Car,3,325,7.401,199
55,Car,3,324,7.366,196
56,Car,3,325,7.376,194
57,Car,3,325,7.360,192
58,Car,3,326,7.382,191
59,Car,4,316,7.585,187
60,Car,3,325,7.344,190
61,Car,4,316,7.551,185
62,Car,4,316,7.544,184
63,Car,4,317,7.595,182
64,Car,3,325,7.334,188
65,Car,3,325,7.353,186
66,Car,4,317,7.570,178
67,Car,4,317,7.572,174
68,Car,4,312,7.712,174
69,Car,3,317,7.582,182
70,Car,3,317,7.583,178
71,Car,3,317,7.601,174
72,Car,3,317,7.593,171
73,Car,4,312,7.717,174
74,Car,4,312,7.653,173
75,Car,4,312,7.671,174
76,Car,4,312,7.675,173
77,Car,4,312,7.646,173
78,Car,3,316,7.538,169
79,Car,4,313,7.699,172
80,Car,3,317,7.529,165
81,Car,3,349,6.853,196
82,Car,3,350,6.868,195
83,Car,3,350,6.861,192
84,Car,4,313,7.636,172
85,Car,3,350,6.868,189
86,Car,4,313,7.646,170
87,Car,4,313,7.662,169
88,Car,3,320,7.518,163
89,Car,4,315,7.601,170
90,Car,3,320,7.487,160
91,Car,3,320,7.457,158
92,Plus Bus,2,209,11.538,133
93,Car,4,316,7.613,166
94,Car,3,321,7.506,157
95,Car,4,316,7.608,166
96,Car,4,316,7.592,161
97,Car,3,320,7.458,156
98,Car,4,316,7.606,154
99,Car,3,321,7.494,154
100,Car,4,316,7.587,144
101,Car,4,316,7.572,141
102,Car,4,316,7.573,140
103,Car,3,321,7.466,150
104,Car,3,321,7.466,149
105,Car,3,321,7.471,149
106,Car,3,321,7.488,147
107,Car,4,316,7.580,138
108,Car,3,321,7.460,142
109,Car,4,316,7.587,136
110,Car,3,321,7.436,138
111,Car,3,321,7.423,135
112,Car,4,306,7.834,132
113,Car,4,306,7.862,132
114,Car,4,306,7.842,129
115,Car,4,307,7.843,128
116,Car,3,315,7.656,136
117,Car,3,314,7.603,134
118,Car,4,307,7.848,127
119,Car,4,307,7.849,123
120,Car,4,307,7.854,120
121,Car,3,314,7.613,134
122,Car,4,306,7.801,113
123,Car,4,307,7.853,110
124,Car,3,314,7.595,133
125,Car,3,347,6.892,158
126,Car,3,347,6.897,155
127,Car,4,307,7.836,107
128,Car,3,348,6.920,152
129,Car,4,307,7.835,99
130,Car,4,339,7.094,125
131,Car,4,339,7.085,122
132,Car,4,339,7.091,121
133,Car,3,347,6.888,152
134,Car,3,311,7.727,107
135,Car,4,308,7.798,91
136,Car,3,311,7.732,103
137,Car,4,308,7.757,87
138,Car,4,308,7.752,83
139,Car,4,309,7.799,83
140,Car,4,309,7.804,74
141,Car,4,309,7.798,74
142,Car,4,309,7.774,73
143,Car,3,311,7.711,100
144,Car,3,311,7.689,100
145,Car,3,311,7.696,99
146,Car,4,309,7.790,70
147,Car,3,312,7.722,93
148,Car,4,309,7.778,68
149,Car,4,309,7.765,68
150,Car,3,311,7.667,92
151,Car,3,312,7.711,92
152,Car,4,310,7.775,67
153,Car,3,311,7.698,87
154,Car,3,311,7.712,85
155,Car,4,310,7.778,65
156,Car,4,307,7.844,61
157,Car,3,307,7.855,83
158,Car,4,307,7.846,54
159,Car,3,306,7.774,83
160,Car,4,307,7.854,52
161,Car,3,307,7.813,82
162,Car,3,307,7.819,81
163,Car,3,307,7.838,77
164,Car,3,307,7.836,73
165,Car,3,339,7.081,103
166,Car,4,307,7.776,46
167,Car,3,340,7.078,99
168,Car,3,340,7.068,97
169,Car,4,307,7.776,41
170,Car,3,340,7.052,94
171,Car,4,307,7.779,40
172,Car,4,340,7.082,64
173,Car,3,340,7.090,94
174,Car,3,340,7.079,94
175,Car,3,340,7.062,92
176,Car,3,340,7.068,92
177,Car,4,339,7.066,61
178,Car,4,297,8.056,29
179,Car,3,304,7.921,67
180,Car,3,303,7.859,66
181,Car,3,304,7.904,65
182,Car,4,297,8.050,28
183,Car,3,304,7.871,67
184,Car,4,298,8.067,28
185,Car,3,304,7.848,67
186,Car,3,305,7.893,66
187,Car,4,298,8.050,26
188,Car,4,298,8.026,25
189,Car,4,298,8.031,25
190,Car,4,299,8.054,24
191,Car,3,305,7.879,64
192,Car,4,298,8.025,23
193,Car,3,305,7.872,66
194,Car,4,298,8.046,22
195,Car,3,305,7.866,67
196,Car,4,299,8.038,21
197,Car,3,305,7.859,67
198,Car,4,299,8.046,21
199,Car,3,305,7.845,67
200,Car,4,299,8.045,20
201,Car,4,299,8.062,19
202,Car,4,299,8.045,18
203,Car,4,299,8.064,17
204,Car,3,305,7.853,67
205,Car,4,299,8.024,16
206,Car,4,299,8.028,15
207,Car,4,299,8.059,14
208,Car,3,305,7.838,68
209,Car,4,299,8.058,14
210,Car,4,299,8.031,12
211,Car,3,338,7.131,100
212,Car,3,337,7.092,99
213,Car,4,331,7.278,40
214,Car,4,331,7.258,39
215,Car,3,338,7.135,99
216,Car,3,338,7.108,97
217,Car,4,331,7.262,37
218,Car,3,338,7.088,94
219,Car,4,332,7.265,34
220,Car,4,332,7.247,32
221,Car,3,338,7.098,91
222,Car,4,292,8.231,25
223,Car,4,292,8.235,25
224,Car,3,292,8.225,90
225,Car,4,292,8.216,26
226,Car,3,292,8.198,89
227,Car,4,292,8.255,25
228,Car,3,292,8.172,91
229,Car,3,292,8.185,91
230,Car,3,292,8.171,92
231,Car,3,292,8.180,93
232,Car,3,292,8.173,93
233,Car,3,292,8.162,93
234,Car,3,293,8.217,91
235,Car,4,292,8.238,26
236,Car,4,292,8.245,26
237,Car,4,293,8.219,26
238,Car,3,293,8.159,92
239,Car,3,293,8.144,93
240,Car,3,294,8.186,92
241,Car,4,293,8.216,26
242,Car,4,293,8.219,26
243,Car,4,292,8.199,27
244,Car,4,292,8.190,27
245,Car,4,293,8.208,25
246,Car,3,294,8.184,94
247,Car,3,294,8.179,91
248,Car,4,293,8.227,25
249,Car,4,293,8.193,22
250,Car,4,293,8.206,22
251,Car,3,294,8.196,90
252,Car,4,326,7.389,52
253,Car,3,326,7.381,119
254,Car,4,326,7.390,47
255,Car,3,326,7.383,118
256,Car,4,326,7.388,43
257,Car,3,326,7.391,119
258,Car,3,326,7.341,116
259,Car,3,327,7.360,115
260,Car,4,326,7.366,40
261,Car,3,327,7.366,116
262,Car,3,327,7.352,112
263,Car,4,326,7.350,36
264,Car,4,327,7.375,32
265,Car,3,327,7.370,110
266,Car,3,284,8.402,103
